candidate,line,immediate_base,changed_families,changed_projection_count,rank_set,available_family_weighted_coverage,available_family_weighted_tail,worst_family_weighted_tail,worst_family_name,deferred_families,ocrbench,evidence_path,interpretation
custom_wo_all_w2_w3_55,55,mixed_0.3,,0,,,,,,,697,plan:1564,OCRBench=697
custom_wo_all_w2_w3_55_wqkv_r64,55,custom_wo_all_w2_w3_55,wqkv:64,32,wqkv:64,0.093997,0.906003,0.906003,wqkv,,699,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r64/results/ocrbench_results.txt,wqkv->64; avail_wtail=0.9060; OCRBench=699
custom_wo_all_w2_w3_55_wqkv_r32,55,custom_wo_all_w2_w3_55,wqkv:32,32,wqkv:32,0.058018,0.941982,0.941982,wqkv,,694,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r32/results/ocrbench_results.txt,wqkv->32; avail_wtail=0.9420; OCRBench=694
custom_wo_all_w2_w3_55_wqkv_r16,55,custom_wo_all_w2_w3_55,wqkv:16,32,wqkv:16,0.037242,0.962758,0.962758,wqkv,,695,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r16/results/ocrbench_results.txt,wqkv->16; avail_wtail=0.9628; OCRBench=695
custom_wo_all_w2_w3_55_wqkv_r64_w2_r64,55,custom_wo_all_w2_w3_55_wqkv_r64,w2:64,17,w2:64;wqkv:64,0.048775,0.951225,0.951225,w2,,700,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r64_w2_r64/results/ocrbench_results.txt,avail_wtail=0.9512; OCRBench=700
custom_wo_all_w2_w3_55_wqkv_r64_w3_r64,55,custom_wo_all_w2_w3_55_wqkv_r64,w3:64,24,w3:64;wqkv:64,0.042240,0.957760,0.957760,w3,,695,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r64_w3_r64/results/ocrbench_results.txt,avail_wtail=0.9578; OCRBench=695
custom_wo_all_w2_w3_55_wqkv_r64_w1_r64,55,custom_wo_all_w2_w3_55_wqkv_r64,w1:64,32,w1:64;wqkv:64,0.044526,0.955474,0.955474,w1,,694,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r64_w1_r64/results/ocrbench_results.txt,avail_wtail=0.9555; OCRBench=694
custom_wo_all_w2_w3_55_wqkv_r64_w3_r32,55,custom_wo_all_w2_w3_55_wqkv_r64,w3:32,24,w3:32;wqkv:64,0.024136,0.975864,0.975864,w3,,692,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r64_w3_r32/results/ocrbench_results.txt,avail_wtail=0.9759; OCRBench=692
custom_wo_all_w2_w3_55_wqkv_r64_w1_r64_w3_r64,55,custom_wo_all_w2_w3_55_wqkv_r64,w1:64;w3:64,56,w1:64;w3:64;wqkv:64,0.043169,0.956831,0.957760,w3,,690,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r64_w1_r64_w3_r64/results/ocrbench_results.txt,avail_wtail=0.9568; OCRBench=690
custom_wo_all_w2_w3_55_wqkv_r32_w3_r64,55,custom_wo_all_w2_w3_55_wqkv_r32,w3:64,24,w3:64;wqkv:32,0.042240,0.957760,0.957760,w3,,690,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r32_w3_r64/results/ocrbench_results.txt,avail_wtail=0.9578; OCRBench=690
custom_wo_all_w2_w3_55_wqkv_r32_w1_r64_w3_r64,55,custom_wo_all_w2_w3_55_wqkv_r32,w1:64;w3:64,56,w1:64;w3:64;wqkv:32,0.043169,0.956831,0.957760,w3,,686,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r32_w1_r64_w3_r64/results/ocrbench_results.txt,avail_wtail=0.9568; OCRBench=686
custom_wo_all_w2_w3_55_wqkv_r16_w3_r64,55,custom_wo_all_w2_w3_55_wqkv_r16,w3:64,24,w3:64;wqkv:16,0.042240,0.957760,0.957760,w3,,681,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r16_w3_r64/results/ocrbench_results.txt,avail_wtail=0.9578; OCRBench=681
custom_wo_all_w2_w3_55_wqkv_r16_w1_r64,55,custom_wo_all_w2_w3_55_wqkv_r16,w1:64,32,w1:64;wqkv:16,0.044526,0.955474,0.955474,w1,,689,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r16_w1_r64/results/ocrbench_results.txt,avail_wtail=0.9555; OCRBench=689
custom_wo_all_w2_w3_55_wqkv_r16_w1_r64_w3_r64,55,custom_wo_all_w2_w3_55_wqkv_r16,w1:64;w3:64,56,w1:64;w3:64;wqkv:16,0.043169,0.956831,0.957760,w3,,687,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r16_w1_r64_w3_r64/results/ocrbench_results.txt,avail_wtail=0.9568; OCRBench=687
custom_wo_all_w2_w3_55_wqkv_r16_w3_r32,55,custom_wo_all_w2_w3_55_wqkv_r16,w3:32,24,w3:32;wqkv:16,0.024136,0.975864,0.975864,w3,,687,outputs/my-internvl2-8b/custom_wo_all_w2_w3_55_wqkv_r16_w3_r32/results/ocrbench_results.txt,avail_wtail=0.9759; OCRBench=687
custom_wo_w2_w3_42,42,mixed_0.3,,0,,,,,,,694,plan:1567,OCRBench=694
custom_wo_w2_w3_42_wqkv_r64,42,custom_wo_w2_w3_42,wqkv:64,32,wqkv:64,0.093997,0.906003,0.906003,wqkv,,696,outputs/my-internvl2-8b/custom_wo_w2_w3_42_wqkv_r64/results/ocrbench_results.txt,wqkv->64; avail_wtail=0.9060; OCRBench=696
custom_wo_w2_w3_42_wqkv_r32,42,custom_wo_w2_w3_42,wqkv:32,32,wqkv:32,0.058018,0.941982,0.941982,wqkv,,695,outputs/my-internvl2-8b/custom_wo_w2_w3_42_wqkv_r32/results/ocrbench_results.txt,wqkv->32; avail_wtail=0.9420; OCRBench=695
custom_wo_w2_w3_42_wqkv_r16,42,custom_wo_w2_w3_42,wqkv:16,32,wqkv:16,0.037242,0.962758,0.962758,wqkv,,689,outputs/my-internvl2-8b/custom_wo_w2_w3_42_wqkv_r16/results/ocrbench_results.txt,wqkv->16; avail_wtail=0.9628; OCRBench=689
custom_wo_w2_w3_42_wqkv_r32_w3_r64,42,custom_wo_w2_w3_42_wqkv_r32,w3:64,24,w3:64;wqkv:32,0.042240,0.957760,0.957760,w3,,693,outputs/my-internvl2-8b/custom_wo_w2_w3_42_wqkv_r32_w3_r64/results/ocrbench_results.txt,avail_wtail=0.9578; OCRBench=693
custom_wo_w2_w3_42_wqkv_r32_w1_r64,42,custom_wo_w2_w3_42_wqkv_r32,w1:64,32,w1:64;wqkv:32,0.044526,0.955474,0.955474,w1,,692,outputs/my-internvl2-8b/custom_wo_w2_w3_42_wqkv_r32_w1_r64/results/ocrbench_results.txt,avail_wtail=0.9555; OCRBench=692
custom_wo_w2_w3_42_wqkv_r32_w3_r32,42,custom_wo_w2_w3_42_wqkv_r32,w3:32,24,w3:32;wqkv:32,0.024136,0.975864,0.975864,w3,,692,outputs/my-internvl2-8b/custom_wo_w2_w3_42_wqkv_r32_w3_r32/results/ocrbench_results.txt,avail_wtail=0.9759; OCRBench=692
