target_line,projection_name,module_family_tail,module_family_group,target_bit,source_bit,in_existing_ck,scale_compatible,reuse_status,reason
55,language_model.model.layers.24.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.26.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.9.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.23.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.22.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.21.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.1.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.27.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.10.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.20.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.13.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.11.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.17.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.12.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.16.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.15.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.14.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.18.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.3.feed_forward.w1,w1,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.2.feed_forward.w1,w1,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.16.feed_forward.w2,w2,mlp_out,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.28.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.19.feed_forward.w2,w2,mlp_out,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.20.feed_forward.w2,w2,mlp_out,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.22.feed_forward.w2,w2,mlp_out,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.2.feed_forward.w2,w2,mlp_out,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.23.feed_forward.w2,w2,mlp_out,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.0.feed_forward.w3,w3,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.24.feed_forward.w2,w2,mlp_out,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.1.feed_forward.w2,w2,mlp_out,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.26.feed_forward.w2,w2,mlp_out,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.21.feed_forward.w2,w2,mlp_out,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.4.feed_forward.w1,w1,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.25.feed_forward.w2,w2,mlp_out,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.27.feed_forward.w2,w2,mlp_out,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.1.feed_forward.w1,w1,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.5.feed_forward.w1,w1,mlp_in,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
55,language_model.model.layers.28.feed_forward.w2,w2,mlp_out,2,2,True,True,reusable,scale/low-rank/bit/q_config all match
